Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
56815367,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""""","=""""",4,4.09,Tordotcom ,Kindle Edition,204,2021,2021,2025/05/19,2025/05/12,,,read,,,,1,0
106728,The Timeless Way of Building,Christopher W. Alexander,"Alexander, Christopher W.",,"=""0195024028""","=""9780195024029""",0,4.37,Oxford University Press,Hardcover,552,1979,1978,,2025/05/13,to-read,to-read (#260),to-read,,,,0,0
179550498,James,Percival Everett,"Everett, Percival",,"=""0385550375""","=""9780385550376""",4,4.45,Doubleday,Error,304,2024,2024,2025/05/12,2025/05/05,,,read,,,,1,0
208932385,Intermezzo,Sally Rooney,"Rooney, Sally",,"=""0374602646""","=""9780374602642""",4,3.82,"Farrar, Straus and Giroux",Kindle Edition,464,2024,2024,2025/05/07,2025/01/24,,,read,,,,1,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.17,Knopf,Hardcover,331,2024,2024,,2025/05/05,to-read,to-read (#259),to-read,,,,0,0
19452425,Bloodchild and Other Stories,Octavia E. Butler,"Butler, Octavia E.",,"=""""","=""""",4,4.34,Seven Stories Press,Kindle Edition,228,2011,1995,2025/04/03,2025/03/21,,,read,,,,1,0
18889555,Kindred,Octavia E. Butler,"Butler, Octavia E.",,"=""0807083704""","=""9780807083703""",4,4.31,Beacon Press,Kindle Edition,264,2004,1979,2025/03/20,2020/01/01,,,read,,,,1,0
123811874,Parable of the Talents,Octavia E. Butler,"Butler, Octavia E.",,"=""1538765500""","=""9781538765500""",5,4.32,Grand Central Publishing,Kindle Edition,434,2023,1998,2025/03/10,2025/02/27,,,read,,,,1,0
123811792,Parable of the Sower,Octavia E. Butler,"Butler, Octavia E.",,"=""1538765497""","=""9781538765494""",5,4.20,Grand Central Publishing,Kindle Edition,386,2023,1993,2025/02/22,2025/02/10,,,read,,,,1,0
223351986,In Memoriam,Alice  Winn,"Winn, Alice",,"=""0593534573""","=""9780593534571""",0,4.50,Vintage Books; Penguin,Kindle Edition,400,2025,2023,,2025/02/23,to-read,to-read (#258),to-read,,,,0,0
181347561,There's Always This Year: On Basketball and Ascension,Hanif Abdurraqib,"Abdurraqib, Hanif",,"=""0593448812""","=""9780593448816""",4,4.28,Random House,Kindle Edition,327,2024,2024,2025/02/15,2024/12/16,,,read,,,,1,0
54386622,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,"Maas, Sarah J.",,"=""""","=""""",2,4.16,Bloomsbury Publishing,Kindle Edition,433,2020,2015,2025/01/24,2025/01/14,,,read,,,,1,0
96177629,Good Material,Dolly Alderton,"Alderton, Dolly",,"=""0241523672""","=""9780241523674""",0,3.83,Fig Tree,Paperback,345,2023,2023,,2025/01/24,to-read,to-read (#257),to-read,,,,0,0
199635125,Rejection,Tony Tulathimutte,"Tulathimutte, Tony",,"=""0063337878""","=""9780063337879""",0,3.80,William Morrow,Hardcover,272,2024,2024,,2025/01/20,to-read,to-read (#256),to-read,,,,0,0
68210,"Gilead (Gilead, #1)",Marilynne Robinson,"Robinson, Marilynne",,"=""031242440X""","=""9780312424404""",4,3.85,Picador ,Paperback,247,2006,2004,2005/08/16,2011/12/28,,,read,,,,2,0
197828937,All Fours,Miranda July,"July, Miranda",,"=""0593190289""","=""9780593190289""",2,3.42,Riverhead Books,Kindle Edition,333,2024,2024,2024/12/24,2024/07/29,,,read,,,,1,0
205363955,Meditations for Mortals: Four Weeks to Embrace Your Limitations and Make Time for What Counts,Oliver Burkeman,"Burkeman, Oliver",,"=""0374611998""","=""9780374611996""",0,4.27,"Farrar, Straus and Giroux",Hardcover,208,2024,2024,,2024/12/22,to-read,to-read (#255),to-read,,,,0,0
209192695,The City and Its Uncertain Walls,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0593801970""","=""9780593801970""",0,3.75,Knopf,Hardcover,449,2024,2023,,2024/12/18,to-read,to-read (#254),to-read,,,,0,0
61796680,Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,Jennifer Pahlka,"Pahlka, Jennifer",,"=""1250266777""","=""9781250266774""",0,4.38,Metropolitan Books,Hardcover,336,2023,2023,,2024/12/13,to-read,to-read (#253),to-read,,,,0,0
60429621,Stay True: A Memoir (Pulitzer Prize Winner),Hua Hsu,"Hsu, Hua",,"=""""","=""""",4,4.00,Doubleday,Kindle Edition,312,2022,2022,2024/09/20,2023/06/11,,,read,,,,1,0
56442303,The Copenhagen Trilogy: Childhood – Youth – Dependency,Tove Ditlevsen,"Ditlevsen, Tove","Tiina Nunnally, Michael Favala Goldman","=""0374602409""","=""9780374602406""",3,4.36,"Farrar, Straus and Giroux",Kindle Edition,371,2021,1967,2024/12/11,2024/08/30,,,read,,,,1,0
51029834,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,"=""""","=""""",3,4.17,Tor Books,ebook,448,2020,2020,2024/11/17,2024/10/04,,,read,,,,1,0
53487237,A Swim in a Pond in the Rain,George Saunders,"Saunders, George",,"=""1984856049""","=""9781984856043""",5,4.54,Random House,Kindle Edition,403,2021,2021,2021/07/06,2021/02/15,,,read,,,,1,0
59576076,The Rabbit Hutch,Tess Gunty,"Gunty, Tess",,"=""""","=""""",0,3.51,Knopf,Hardcover,399,2022,2022,,2024/11/06,to-read,to-read (#252),to-read,,,,0,0
211050274,The Message,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0593230396""","=""9780593230398""",5,4.51,One World,Kindle Edition,256,2024,2024,2024/11/04,2024/10/03,,,read,,,,1,0
63429926,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,"=""""","=""""",5,4.41,Grove Atlantic,Kindle Edition,802,2023,2023,2024/10/26,2024/05/12,,,read,,,,1,0
6185,Wuthering Heights,Emily Brontë,"Brontë, Emily","Richard J. Dunn, Charlotte Brontë, John Bugg, Robert Heindel","=""""","=""""",0,3.90,Norton,Paperback,464,2002,1847,,2024/10/03,to-read,to-read (#251),to-read,,,,0,0
38472277,Severance,Ling  Ma,"Ma, Ling",,"=""0374717117""","=""9780374717117""",2,3.88,"Farrar, Straus and Giroux",Kindle Edition,267,2018,2018,2024/09/30,2024/09/17,,,read,,,,1,0
49239093,"The Evening and the Morning (Kingsbridge, #0)",Ken Follett,"Follett, Ken",,"=""0525954988""","=""9780525954989""",0,4.39,Viking,Hardcover,913,2020,2020,,2024/09/30,to-read,to-read (#250),to-read,,,,0,0
126262032,So Late in the Day: Stories of Women and Men,Claire Keegan,"Keegan, Claire",,"=""0802160859""","=""9780802160850""",4,3.94,Grove Press,Hardcover,128,2023,2022,2024/09/21,2024/05/12,,,read,,,,1,0
52702097,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""""","=""""",5,4.22,Bloomsbury Publishing,Kindle Edition,246,2020,2020,2024/03/04,2024/02/09,favorites,favorites (#8),read,I knew nothing about this book when I started it and it quickly became one of my favorite books in recent memory. Really enjoyed the surrealism and vividness of the house. I can't stop imagining it weeks after finishing. ,,,1,0
128747007,Emperor of Rome: Ruling the Ancient Roman World,Mary Beard,"Beard, Mary",,"=""0871404222""","=""9780871404220""",0,4.09,Liveright,Hardcover,493,2023,2023,,2024/09/20,to-read,to-read (#249),to-read,,,,0,0
55223004,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""""","=""""",4,4.35,Dutton,ebook,304,2021,2021,2023/01/28,2023/01/03,,,read,,,,1,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",0,4.57,Pocket Books,Mass Market Paperback,960,1999,1985,,2024/09/04,to-read,to-read (#248),to-read,,,,0,0
54789386,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",4,4.17,Vintage,Kindle Edition,322,2007,2005,2024/09/03,2024/08/13,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",4,4.29,Modern Library,Paperback,279,2023,1813,2024/08/29,2024/07/28,,,read,,,,1,0
52079711,Welcome to the New World,Jake Halpern,"Halpern, Jake",Michael Sloan,"=""1250305594""","=""9781250305596""",0,4.06,Metropolitan Books,Paperback,176,2020,2017,,2024/08/26,to-read,to-read (#247),to-read,,,,0,0
48890486,Breath: The New Science of a Lost Art,James Nestor,"Nestor, James",,"=""0735213615""","=""9780735213616""",0,4.14,Riverhead Books,Hardcover,280,2020,2020,,2024/08/26,to-read,to-read (#246),to-read,,,,0,0
55077697,"The Blacktongue Thief (Blacktongue, #1)",Christopher Buehlman,"Buehlman, Christopher",,"=""1250621194""","=""9781250621191""",0,4.20,Tor Books,Hardcover,416,2021,2021,,2024/08/24,to-read,to-read (#245),to-read,,,,0,0
